Region,squid games
Karnataka,100
Mizoram,53
Goa,53
Delhi,51
Uttarakhand,49
Arunachal Pradesh,42
Chandigarh,42
Madhya Pradesh,41
Nagaland,39
Haryana,38
Meghalaya,36
Chhattisgarh,36
Punjab,34
Maharashtra,33
Jammu and Kashmir,32
Telangana,30
Kerala,30
Tripura,30
Manipur,30
Jharkhand,30
Assam,29
Himachal Pradesh,28
Tamil Nadu,28
Uttar Pradesh,27
West Bengal,27
Gujarat,26
Andhra Pradesh,25
Rajasthan,23
Odisha,22
Bihar,18
Lakshadweep,
Sikkim,
Puducherry,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
