Region,squid games 2
Karnataka,100
Uttarakhand,100
Delhi,72
Haryana,63
Jammu and Kashmir,63
Maharashtra,54
Jharkhand,54
Madhya Pradesh,54
Chhattisgarh,54
Punjab,54
Andhra Pradesh,54
Telangana,45
Gujarat,45
Kerala,45
Uttar Pradesh,45
Tamil Nadu,45
West Bengal,45
Odisha,36
Rajasthan,36
Assam,27
Bihar,27
Lakshadweep,
Manipur,
Mizoram,
Nagaland,
Meghalaya,
Himachal Pradesh,
Puducherry,
Goa,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
